Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
사조 참치액 900ML-1(SJ Tuna Sauce 900ML-1),사조 참치액 900ML-1(SJ Tuna Sauce 900ML-1),Broth,True,8801039006603,900,shopify,2,deny,manual,19.50,19.50,True,"=""8801039006603""",13.50,active,O,O,O,-,Out of stock,1 Left,1 Left,Out of stock,CFC,
사조 참치액으로만든 샤브샤브육수 80G(SJ ShabuShabu Stock 80G),사조 참치액으로만든 샤브샤브육수 80G(SJ ShabuShabu Stock 80G),"Stock, Broth",TRUE,8801039002025,80,shopify,90,deny,manual,2.99,2.99,TRUE,"=""8801039002025""",2.04,active,O,O,O,-,In stock,In stock,In stock,In stock,,
삼겹살(Skin Off) 10M 1kg(Pork Belly(Skin Off) 10M 1kg),삼겹살(Skin Off) 10M 1kg(Pork Belly(Skin Off) 10M 1kg),Meat,True,100211080,1000,shopify,29,deny,manual,29.90,29.90,True,"=""100211080""",26.80,active,O,O,,-,In stock,2 Left,7 Left,7 Left,HGW,
삼덕 갈비가위(대)(SD Scissor(Meat Cut)(L)),삼덕 갈비가위(대)(SD Scissor(Meat Cut)(L)),Kitchen and Dining,TRUE,8809037041084,10,shopify,52,deny,manual,13.90,13.90,TRUE,"=""8809037041084""",8.90,active,O,O,O,-,In stock,In stock,In stock,3 Left,CFC,
삼부자 구운 김밥용김 20g(SBJ R/Seaweed(Sushi/Kimbab) 20g),삼부자 구운 김밥용김 20g(SBJ R/Seaweed(Sushi/Kimbab) 20g),"Seaweed, Special",TRUE,8801299000144,20,shopify,212,deny,manual,3.50,3.90,TRUE,"=""8801299000144""",2.43,active,O,O,,Expiration date: 22/09/2025,In stock,In stock,In stock,In stock,CFC,
삼부자 도시락김 16봉-1(SBJ Roasted Seaweed-1 4.5g*16),삼부자 도시락김 16봉-1(SBJ Roasted Seaweed-1 4.5g*16),"Seaweed, Banchan",TRUE,8801299881415,72,shopify,0,deny,manual,12.90,12.90,TRUE,"=""8801299881415""",9.80,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
삼부자 돌김전장 20g*5(SBJ Roasted Seaweed 20g*5),삼부자 돌김전장 20g*5(SBJ Roasted Seaweed  20g*5),"Seaweed, Banchan",True,8801299000038,100,shopify,67,deny,manual,16.90,16.90,True,"=""8801299000038""",12.17,active,O,O,,-,In stock,In stock,In stock,In stock,CFC,
삼부자 돌자반볶음 70g(SBJ Laver Flake 70g),삼부자 돌자반볶음 70g(SBJ Laver Flake 70g),Seaweed,True,8801299300077,70,shopify,137,deny,manual,5.99,5.99,True,"=""8801299300077""",4.25,active,O,O,O,-,In stock,In stock,In stock,In stock,CFC,
삼부자 올리브 도시락김 12봉(SBJ Olive Roasted Seaweed 4.5g*12),삼부자 올리브 도시락김 12봉(SBJ Olive Roasted Seaweed 4.5g*12),"Seaweed, Banchan, Snacks",True,8801299901151,=4.5*12,shopify,0,deny,manual,12.50,12.50,True,"=""8801299901151""",9.33,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
삼부자 올리브 전장재래김 25g*3(SBJ Olive Roasted Seaweed 25g*3),삼부자 올리브 전장재래김 25g*3(SBJ Olive Roasted Seaweed 25g*3),"Seaweed, Banchan",True,8801299901229,75,shopify,80,deny,manual,10.50,10.50,True,"=""8801299901229""",8.00,active,O,O,,-,In stock,In stock,In stock,In stock,CFC,
